79,17,95,35.34
100,12,100,36.33
92,13,97,37.22
73,19,96,36.34
95,18,96,38.77
76,14,95,38.83
91,15,96,37.29
70,13,97,35.97
99,13,95,37.32
95,16,93,35.67
90,17,94,37.7
98,18,93,36.61
74,14,96,37.56
72,15,96,35.13
90,18,96,38.37
85,14,97,35.6
93,15,96,36.36
82,15,94,38.2
84,15,96,36.06
80,15,96,37.63
94,12,100,36.01
100,19,98,38.82
70,18,100,38.49
76,14,99,38.72
73,19,93,36.55
86,16,99,37.48
94,18,99,37.2
80,13,93,37.69
89,16,100,38.79
88,19,96,35.44
80,19,96,36.26
87,14,96,36.58
100,14,94,36.55
91,19,93,35.15
72,15,94,36.72
70,16,93,38.81
85,14,98,36.22
95,14,93,36.58
97,16,93,38.78
99,20,93,37.45
76,14,97,38.79
84,13,97,38.59
99,12,96,35.18
87,14,95,37.55
88,13,100,35.05
94,14,98,37.51
100,19,93,37.54
93,18,99,38.55
88,13,97,35.03
87,18,96,36.02
99,13,98,35.62
99,13,99,37.43
71,17,97,37.64
92,13,95,35.97
81,17,100,35.79
74,13,93,36.74
92,18,97,36.95
97,14,93,35.32
94,13,100,37.15
85,18,96,38.29
77,14,97,36.96
77,12,99,36.99
99,16,95,36.97
91,17,94,37.19
93,12,97,37.47
98,14,99,38.08
93,12,95,38.98
100,17,99,38.18
99,13,93,38.94
82,16,96,36.63
94,19,93,38.59
76,18,99,35.91
99,15,95,37
97,12,94,37.76
92,17,96,38.99
85,16,95,35.26
81,15,97,38.51
71,19,96,37.64
70,13,99,35.75
88,17,97,35.96
87,13,100,38.07
97,15,98,37.54
98,18,97,37.37
85,19,99,37.34
89,20,99,36.45
76,20,100,38.02
94,17,98,38.69
74,13,98,35
99,15,97,38.36
95,19,97,35.59
77,17,96,35.35
73,12,94,38.83
91,16,100,35.14
100,17,99,38.38
95,14,93,36.05
82,20,100,35.26
76,13,100,37.32
93,20,93,37.67
79,14,93,35.38
98,18,96,37.21
85,12,96,37.6
