93,24,97,36.48
103,20,94,35.96
120,19,96,38.56
108,22,96,36.62
107,20,92,39.37
79,23,90,39.59
90,17,93,33.86
126,18,93,34.17
98,21,100,36.58
123,20,96,35.88
70,25,95,36.57
90,14,93,39.87
105,14,94,36.57
65,15,90,34.32
82,15,100,37.28
67,22,94,39.21
99,19,90,39.24
95,23,99,39.37
63,17,99,35.01
103,24,94,36.78
126,14,98,34.25
123,14,94,36.61
128,24,94,37.21
72,12,96,38.93
72,13,95,39.6
104,17,92,34.28
129,18,98,35.7
66,19,90,34.62
88,19,92,38.17
132,24,99,37.31
128,20,91,34.42
135,20,96,38.4
100,22,98,38.3
112,21,95,33.4
131,23,92,38.29
80,21,94,38.87
62,25,90,37.89
133,24,96,35.68
89,13,92,33.87
104,18,95,39.56
133,18,99,35.21
102,17,96,34.03
129,18,99,34.09
102,17,95,33.66
135,24,91,38.54
81,20,99,33.93
121,21,92,34.36
78,25,91,39.25
77,18,91,34.52
102,22,98,35.25
99,25,90,36.86
84,16,96,33.37
99,21,90,34.25
70,20,98,34.66
115,18,91,38.94
116,15,97,39.45
90,23,91,38.09
87,24,95,35.26
99,15,94,34.89
91,16,97,38.53
133,17,100,33.43
72,20,93,35.39
129,12,94,34.44
97,17,96,39.9
91,20,92,33.17
138,25,100,36.44
113,16,94,39.99
87,15,100,39.58
139,17,91,38.21
78,17,95,36.25
65,17,98,38.03
93,24,94,36.9
136,24,92,35.29
83,12,92,35.98
101,15,96,38.55
136,18,98,37.29
105,22,94,36.47
64,17,93,37.81
63,20,90,36.23
65,18,100,36.96
106,19,90,37.83
139,21,99,39.95
95,23,95,36.01
131,12,100,39.84
138,20,93,39.58
137,20,97,34.27
87,22,95,38.19
140,14,100,39.07
96,15,95,38.5
127,16,97,33.16
108,25,95,38.28
103,18,97,36.5
79,15,95,37.23
139,20,100,39.82
72,20,100,39.68
111,20,95,36.63
65,16,100,39.93
117,12,96,33.39
92,13,95,34.35
93,18,98,37.22
124,13,100,38.81
128,17,95,34.56
88,17,92,38.25
104,22,90,39.64
138,19,98,36.7
136,13,93,33.83
63,20,97,39.79
119,25,99,35.91
83,24,97,33.48
64,25,95,38.21
72,13,99,39.85
133,13,96,36.65
117,20,93,36.46
61,16,92,38.72
74,17,96,38.08
68,24,98,39.62
116,15,92,37.99
96,19,98,36.67
116,18,95,34.75
113,24,100,36.3
118,15,91,39.74
103,23,99,33.43
87,24,95,38.51
116,15,94,34.35
64,22,90,36.17
114,18,91,35.26
124,12,99,35.56
77,25,100,39.1
118,21,94,37.25
65,21,100,34.11
89,22,97,39.48
136,14,93,38.27
133,18,97,33.6
85,25,100,34.48
121,15,99,35.91
64,17,92,36.41
94,15,91,39.84
94,23,98,36.06
96,24,92,34.73
80,14,92,35.82
84,24,92,39.47
67,23,98,33.47
125,15,95,37.54
136,19,90,38.02
83,24,94,39.4
132,16,94,34.65
89,16,94,33.05
107,19,98,37.95
80,25,91,34.98
74,17,98,38.89
133,21,97,35.77
123,13,98,35.4
76,15,92,39.2
130,18,92,36.22
76,12,99,36.99
79,19,95,37.24
96,19,99,38.72
115,19,95,38.19
135,20,96,34.31
99,12,94,34.24
75,13,93,39.78
139,25,91,38.31
137,23,91,35.52
72,17,98,39.65
136,16,100,36.61
97,13,92,36.31
62,20,92,35.45
72,21,94,38.51
139,18,99,39.63
86,15,92,34.17
70,14,91,37.81
87,21,91,38.85
98,20,100,37.89
116,18,100,35.29
105,21,94,38.93
77,20,96,35.76
65,22,90,39.33
64,12,92,39.53
103,23,92,35.45
62,12,92,38.5
86,21,98,34.81
108,15,99,35.4
104,15,96,37.94
97,22,90,33.45
116,22,100,37.05
118,24,97,37.7
102,14,100,36.63
82,18,93,34.46
118,12,100,39.48
64,22,99,36.73
121,25,90,37.89
78,17,100,34.52
139,21,100,37.94
81,15,94,39.33
139,23,93,33.05
128,25,90,37.65
67,20,97,34.95
125,19,100,38.39
62,21,90,34.07
112,22,97,34.27
73,17,94,39.1
135,16,92,37.14
138,14,91,33.16
60,24,94,35.78
82,18,99,37.8
137,15,91,37.41
60,24,95,36.65
137,24,95,36.52
94,17,95,34.2
131,22,91,37.12
101,13,91,37.12
102,18,93,37.24
138,23,91,33.02
87,17,95,34.66
73,17,95,33.52
139,22,97,38.89
62,16,90,36.24
74,19,96,33.97
